id;author;title;releaseDate;link
1;J. K. Rowling;Fantastic Beasts and Where to Find Them: The Original Screenplay;11/18/2016;http://amzn.to/2kup94P
2;J. K. Rowling;*Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter; Book 1)*;10/06/2015;http://amzn.to/2l2lSwP
3;J. K. Rowling;*The Tales of Beedle the Bard, Standard Edition (Harry Potter)*;12/04/2008;http://amzn.to/2kYezqr
4;J. K. Rowling;*Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter; Book 2)*;10/04/2016;http://amzn.to/2kYhL5n
5;Jean-Georges Perrin;*Informix 12.10 on Mac 10.12 with a dash of Java 8: The Tale of the Apple; the Coffee; and a Great Database*;04/23/2017;http://amzn.to/2i3mthT
6;Jean-Georges Perrin;*Development Tools in 2006: any Room for a 4GL-style Language? An independent study by Jean Georges Perrin, IIUG Board Member*;12/28/2016;http://amzn.to/2vBxOe1
7;Mark Twain;Adventures of Huckleberry Finn;05/26/1994;http://amzn.to/2wOeOav
8;Mark Twain;A Connecticut Yankee in King Arthur's Court;06/17/2017;http://amzn.to/2x1NuoD
10;Denis Diderot;Jacques le Fataliste;03/01/2000;http://amzn.to/2uZj2KA
11;Denis Diderot;Diderot Encyclopedia: The Complete Illustrations 1762-1777;;http://amzn.to/2i2zo3I
12;;A Woman in Berlin;07/11/2006;http://amzn.to/2i472WZ
13;Craig Walls;Spring Boot in Action;01/03/1916;http://amzn.to/2hCPktW
14;Craig Walls;Spring in Action: Covers Spring 4;11/28/2014;http://amzn.to/2yJLyCk
15;John Sonmez;Soft Skills: The software developer's life manual;12/29/2014;http://amzn.to/2zNnSyn
16;John Steinbeck;Of Mice and Men;;http://amzn.to/2zJjXoc
17;Raoul-Gabriel Urma;*Java 8 in Action: Lambdas; Streams; and functional-style programming*;08/28/2014;http://amzn.to/2isdqoL
18;William Shakespeare;Hamlet;06/08/2012;http://amzn.to/2yRbewY
19;Blaise Pascal;Pensées;12/31/1670;http://amzn.to/2jweHOG
20;DE LA FONTAINE-J;*Fables choisies; mises en vers par M. de La Fontaine*;09/01/1999;http://amzn.to/2yRH10W
21;Rene Descartes;Discourse on Method and Meditations on First Philosophy;06/15/1999;http://amzn.to/2hwB8zc
22;William Shakespeare;Twelfth Night;07/01/2004;http://amzn.to/2zPYnwo
23;William Shakespeare;Macbeth;07/01/2003;http://amzn.to/2zPYnwo
24;Christopher M. Judd;Beginning Groovy, Grails and Griffin;01/01/2012;https://amzn.to/3KVVG29
25;Christopher M. Judd;Enterprise Java Development on a Budget: Leveraging Java Open Source Technologies;03/29/2004;https://amzn.to/3PgaR93
26;Christopher M. Judd;Pro Eclipse JST: Plug-ins for J2EE Development;09/14/2005;https://amzn.to/3qGOujF
27;Christopher M. Judd;Bearable Moments;01/02/2006;https://amzn.to/3YTluS5
